Transaction_Id,User_Id,Date,Transaction_Type,Category,Amount,Payment_Mode,Location,Notes,Currency,Amount_clean,Amount_Inr,Amount_USD,Amount_Unknown
T03512,U039,2021-12-22,Expense,Rent,998,Cash,Pune,Paid electricity bill ,,998.0,,,998.0
T03261,U179,2022-03-24,Expense,Food,$143,Card,Delhi,Grocery shopping,$,143.0,,143.0,
T04316,U143,2022-10-18,Expense,Rent,149,Cash,Bengaluru,,,149.0,,,149.0
T05649,U079,2021-12-12,Expense,Rent,49,UPI,Unknown,Paid electricity bill,,49.0,,,49.0
T14750,U020,,Income,Other Income,"83,802",Bank Transfer,Chennai,Gift via app,,83802.0,,,83802.0
T04246,U188,2022-12-07,Expense,Entertainment,208,UPI,Hyderabad,Monthly rent,,208.0,,,208.0
T01814,U150,2019-09-12,Expense,Savings,681,Cash,Kolkata,Salary,,681.0,,,681.0
T06293,U014,2022-01-06,Expense,Rent,"2,524",Bank Transfer,Unknown,Salary,,2524.0,,,2524.0
T07930,U138,2022-04-11,Expense,Education,93,Bank Transfer,Pune,hZtATyn1UX55solCMr1,,93.0,,,93.0
T04656,U112,2021-02-03,Expense,Food,323,UPI,Ahmedabad,Monthly rent,,323.0,,,323.0
T11712,U117,2022-02-11,Expense,Others,662,UPI,Chennai,Salary cash,,662.0,,,662.0
T00308,U009,2022-11-21,Expense,Food,"1,019",UPI,Kolkata,,,1019.0,,,1019.0
T01783,U092,2022-12-29,Expense,Entertainment,203,Bank Transfer,Jaipur,Course fee ,,203.0,,,203.0
T09558,U082,2020-10-26,Income,Salary,"59,149",Bank Transfer,Chennai,Netflix subscription,,59149.0,,,59149.0
T09993,U148,2021-05-25,Income,Other Income,"78,744",Bank Transfer,Unknown,Doctor visit,,78744.0,,,78744.0
T02596,U050,2021-03-03,Income,Other Income,"58,874",Card,Bengaluru,Salary,,58874.0,,,58874.0
T05569,U049,2021-09-24,Expense,Food,258,Bank Transfer,Lucknow,Dinner at resto,,258.0,,,258.0
T10777,U044,2022-07-02,Expense,Travel,336,UPI,Kolkata,Uber to office,,336.0,,,336.0
T11684,U114,2022-01-20,Expense,Food,₹383,Bank Transfer,Hyderabad,Grocery shopping,₹,383.0,383.0,,
T14503,U119,2022-03-08,Expense,Savings,93,Card,Ahmedabad,,,93.0,,,93.0
T11737,U059,2021-04-16,Expense,Food,82,Cash,Lucknow,,,82.0,,,82.0
T08540,U095,2021-06-26,Expense,Food,"1,761",Cash,Hyderabad,wkAdxBaz8rnYSOE,,1761.0,,,1761.0
T11492,U149,2020-12-28,Expense,Rent,"1,580",UPI,Lucknow,Uber to office,,1580.0,,,1580.0
T10632,U157,2021-11-19,Expense,Rent,856,UPI,Mumbai,Paid electricity bill ,,856.0,,,856.0
